"Time","device_frmpayload_data_rainfall.mean"
2023-08-23 15:26:40,
2023-08-23 15:27:00,0
2023-08-23 15:27:20,
2023-08-23 15:27:40,
2023-08-23 15:28:00,0
2023-08-23 15:28:20,
2023-08-23 15:28:40,
2023-08-23 15:29:00,0
2023-08-23 15:29:20,
2023-08-23 15:29:40,
2023-08-23 15:30:00,0
2023-08-23 15:30:20,
2023-08-23 15:30:40,
2023-08-23 15:31:00,0
2023-08-23 15:31:20,
2023-08-23 15:31:40,
2023-08-23 15:32:00,0
2023-08-23 15:32:20,
2023-08-23 15:32:40,
2023-08-23 15:33:00,0
2023-08-23 15:33:20,
2023-08-23 15:33:40,
2023-08-23 15:34:00,0
2023-08-23 15:34:20,
2023-08-23 15:34:40,
2023-08-23 15:35:00,0
2023-08-23 15:35:20,
2023-08-23 15:35:40,
2023-08-23 15:36:00,0
2023-08-23 15:36:20,
2023-08-23 15:36:40,
2023-08-23 15:37:00,0
2023-08-23 15:37:20,
2023-08-23 15:37:40,
2023-08-23 15:38:00,0
2023-08-23 15:38:20,
2023-08-23 15:38:40,
2023-08-23 15:39:00,0
2023-08-23 15:39:20,
2023-08-23 15:39:40,
2023-08-23 15:40:00,0
2023-08-23 15:40:20,
2023-08-23 15:40:40,
2023-08-23 15:41:00,0
2023-08-23 15:41:20,
2023-08-23 15:41:40,
2023-08-23 15:42:00,0
2023-08-23 15:42:20,
2023-08-23 15:42:40,
2023-08-23 15:43:00,0
2023-08-23 15:43:20,
2023-08-23 15:43:40,
2023-08-23 15:44:00,0
2023-08-23 15:44:20,
2023-08-23 15:44:40,
2023-08-23 15:45:00,0
2023-08-23 15:45:20,
2023-08-23 15:45:40,
2023-08-23 15:46:00,0
2023-08-23 15:46:20,
2023-08-23 15:46:40,
2023-08-23 15:47:00,0
2023-08-23 15:47:20,
2023-08-23 15:47:40,
2023-08-23 15:48:00,0
2023-08-23 15:48:20,
2023-08-23 15:48:40,
2023-08-23 15:49:00,0
2023-08-23 15:49:20,
2023-08-23 15:49:40,
2023-08-23 15:50:00,0
2023-08-23 15:50:20,
2023-08-23 15:50:40,
2023-08-23 15:51:00,0
2023-08-23 15:51:20,
2023-08-23 15:51:40,
2023-08-23 15:52:00,0
2023-08-23 15:52:20,
